Epoch,Train Loss,Train Accuracy,Validation Loss,Validation Accuracy
1,1.8614,0.3325,2.9366,0.354
2,1.3428,0.5000,3.0366,0.3465
3,1.3428,0.5000,0.3604,0.9099
4,1.1775,0.5971,0.3516,0.9185
5,1.7716,0.5000,0.3842,0.8629
6,0.9531,0.6844,0.3569,0.8738
7,0.3180,0.8750,0.6286,0.7539
8,0.7973,0.7290,0.6167,0.7585
9,0.6791,0.7500,1.0441,0.6426
10,0.6819,0.7741,0.9723,0.6575
11,0.8920,0.6250,0.8035,0.7544
12,0.5700,0.8168,0.7922,0.7562
13,0.5514,0.8750,0.8488,0.7401
14,0.5102,0.8354,0.8498,0.7458
15,0.4671,0.8750,0.7742,0.817
16,0.4458,0.8484,0.7824,0.8164
17,1.7008,0.5000,0.6475,0.8181
18,0.4427,0.8572,0.6798,0.8153
19,0.0781,1.0000,0.1977,0.9306
20,0.4143,0.8629,0.1856,0.9392
21,0.4816,0.8750,0.2532,0.9025
22,0.3805,0.8748,0.2534,0.9019
23,0.1504,1.0000,0.7125,0.8193
24,0.3295,0.8943,0.6702,0.8336
25,0.4797,0.7500,0.5478,0.8394
26,0.3904,0.8697,0.5216,0.848
27,0.4354,0.8750,0.6995,0.7998
28,0.4022,0.8685,0.6947,0.7975
29,1.1438,0.5000,0.1996,0.9237
30,0.3381,0.8958,0.2156,0.9203
31,0.1446,0.8750,0.4567,0.8617
32,0.2728,0.9059,0.4472,0.8635
33,0.0360,1.0000,0.2073,0.9552
34,0.0360,1.0000,0.2017,0.9558
35,0.2510,0.9186,0.2417,0.9145
36,0.0856,1.0000,0.2334,0.9168
37,0.2302,0.9265,0.3793,0.8721
38,0.0054,1.0000,0.3986,0.8698
39,0.2549,0.9176,2.7991,0.436
40,0.3313,0.8750,2.7009,0.4492
41,0.2352,0.9240,0.3196,0.8893
42,0.1590,0.8750,0.3273,0.8881
43,0.2574,0.9089,0.7505,0.8181
44,0.0124,1.0000,0.8096,0.809
45,0.2378,0.9230,0.5554,0.8669
46,0.0835,1.0000,0.5513,0.8669
47,0.1978,0.9433,0.8569,0.7349
48,0.0474,1.0000,0.8619,0.7349
49,0.2087,0.9283,0.1074,0.9552
50,0.0418,1.0000,0.1058,0.9558
51,0.3059,0.8990,0.1931,0.9386
52,0.0412,1.0000,0.1931,0.9392
53,0.2221,0.9296,0.3908,0.8921
54,0.0410,1.0000,0.4009,0.8904
55,0.1856,0.9380,0.6513,0.8405
56,0.4173,0.8750,0.6609,0.8376
57,0.2018,0.9341,0.9658,0.8124
58,0.0153,1.0000,0.9607,0.8135
59,0.1733,0.9439,1.1138,0.8365
60,0.0523,1.0000,1.1449,0.8325
61,0.1784,0.9444,2.2832,0.5548
62,0.0031,1.0000,2.2254,0.5588
63,0.1852,0.9389,0.4246,0.891
64,0.0047,1.0000,0.4232,0.8921
65,0.1722,0.9496,0.6454,0.8508
66,0.1258,0.8750,0.6304,0.8526
67,0.1258,0.8750,0.1406,0.957
68,0.1514,0.9469,0.1405,0.957
69,0.0415,1.0000,0.3614,0.8612
70,0.1315,0.9555,0.3824,0.8537
71,0.1641,0.8750,0.9148,0.7854
72,0.1736,0.9399,0.9374,0.7831
73,0.0031,1.0000,0.8874,0.8457
74,0.1488,0.9532,0.8636,0.848

